;Gene;Recessive/Dominant
147;NDUFB11;X-linked_dominant\x3bX-linked
148;NEXMIF;X-linked_dominant
149;NHS;X-linked\x3bX-linked_dominant
150;NKAP;X-linked_recessive
151;NLGN3;Multifactorial,X-linked,Isolated_cases\x3bX-linked
152;NLGN4X;X-linked\x3bMultifactorial,X-linked,Isolated_cases\x3bMultifactorial,X-linked,Isolated_cases
153;NONO;X-linked
154;NSDHL;X-linked_recessive\x3bX-linked_dominant
155;NYX;X-linked_recessive
156;OASD;X-linked
157;OCRL;X-linked_recessive\x3bX-linked_recessive
158;OGT;X-linked_recessive
159;OPA2;X-linked
160;OPHN1;X-linked_recessive
161;OPN1LW;X-linked_recessive\x3bX-linked
162;OPN1MW;X-linked\x3bX-linked_recessive
163;OTUD5;X-linked_recessive
164;PAK3;X-linked_recessive
165;PCDH19;X-linked
166;PDHA1;X-linked_dominant
167;PDK3;X-linked_dominant
168;PGK1;X-linked_recessive
169;PHF6;X-linked_recessive
170;PHF8;X-linked_recessive
171;PHKA2;X-linked_recessive\x3bX-linked_recessive
172;PIGA;.\x3bX-linked_recessive\x3b.
173;PIH1D3;X-linked_recessive
174;PLP1;X-linked_recessive\x3bX-linked_recessive
175;PLS3;X-linked_dominant
176;POF1B;X-linked_recessive
177;POLA1;X-linked_recessive\x3bX-linked_recessive
178;PORCN;X-linked_dominant
179;POU3F4;X-linked_recessive
180;PQBP1;X-linked_recessive
181;PRICKLE3;X-linked_dominant
182;PRS;X-linked_recessive
183;PTCHD1;X-linked_recessive
184;RAB39B;X-linked_recessive\x3bX-linked_recessive
185;RBM10;X-linked_recessive
186;RLIM;X-linked
187;RNF113A;X-linked
188;RP2;X-linked
189;RP6;X-linked
190;RPGR;X-linked\x3bX-linked_recessive\x3bX-linked\x3bX-linked_recessive
191;RPL10;.\x3bX-linked_recessive
192;RPS6KA3;X-linked_dominant\x3bX-linked_dominant
193;RS1;X-linked_recessive
194;SASH3;X-linked_recessive
195;SERPINA7;X-linked
196;SH2D1A;X-linked_recessive
197;SH3KBP1;X-linked_recessive
198;SHFM2;X-linked
199;SLC6A8;X-linked_recessive
200;SLC9A6;X-linked
201;SLC9A7;X-linked_recessive
202;SLC16A2;X-linked
203;SLC35A2;Somatic_mosaicism,X-linked_dominant
204;SMC1A;X-linked_dominant\x3bX-linked_dominant
205;SMPX;X-linked_recessive\x3bX-linked_dominant
206;SMS;X-linked_recessive\x3bAutosomal_dominant,Isolated_cases
207;SOX3;.\x3bX-linked
208;SPG16;X-linked_recessive
209;SPG34;X-linked_recessive
210;SRY;Y-linked\x3bX-linked_dominant
211;SSR4;X-linked_recessive
212;STAG2;X-linked_recessive,X-linked_dominant\x3bX-linked
213;STAR;Autosomal_recessive\x3bX-linked_dominant
214;STS;X-linked_recessive
215;SYN1;X-linked\x3bX-linked
216;SYP;X-linked_recessive
217;TAZ;X-linked_recessive
218;TBL1X;X-linked
219;TBX22;X-linked\x3bX-linked
220;TEX11;X-linked_recessive
221;TFE3;X-linked\x3b.
222;THAS;X-linked
223;THOC2;X-linked_recessive
224;TIMM8A;X-linked_recessive
225;TKCR;X-linked
226;TLR7;X-linked_recessive\x3bX-linked_dominant
227;TLR8;X-linked,Somatic_mosaicism
228;TMLHE;X-linked_recessive
229;TRAPPC2;X-linked_recessive
230;TSPAN7;X-linked_recessive
231;TSR2;X-linked_recessive
232;UBA1;X-linked_recessive\x3b.
233;UBE2A;X-linked_recessive
234;UPF3B;X-linked_recessive
235;USP9X;X-linked_recessive\x3bX-linked_dominant
236;USP27X;X-linked_recessive
237;WAS;X-linked_recessive\x3bX-linked_recessive\x3bX-linked_recessive\x3bX-linked_recessive
238;WDR45;X-linked_dominant
239;XIAP;X-linked_recessive
240;XK;X-linked
241;ZC4H2;X-linked_recessive\x3bX-linked_dominant
242;ZDHHC9;X-linked
243;ZIC3;X-linked_recessive\x3bX-linked_recessive\x3bX-linked_recessive
244;ZNF711;X-linked
